,Authors,Quotes,Likes,tags
0,Albert Camus,“Don’t walk in front of me… I may not follow,89030,"['attributed-no-source,', 'friends,', 'friendship,', 'misattributed-albert-camus']"
1,"C.S. Lewis,","“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”",85910,['friendship']
2,Elbert Hubbard,“A friend is someone who knows all about you and still loves you.”,80972,"['friend,', 'friendship,', 'knowledge,', 'love']"
3,Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",45962,"['books,', 'contentment,', 'friends,', 'friendship,', 'life']"
4,Friedrich Nietzsche,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",40545,"['friendship,', 'lack-of-friendship,', 'lack-of-love,', 'love,', 'marriage,', 'unhappy-marriage']"
5,Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",23687,['friendship']
6,"Joan Powers,","“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”",22217,"['friendship,', 'misattributed-a-a-milne']"
7,"Jane Austen,","“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",21842,"['friendship,', 'love']"
8,Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,20797,"['friendship,', 'love']"
9,"A.A. Milne,",“Piglet sidled up to Pooh from behind.,19632,"['friendship,', 'piglet,', 'pooh,', 'reassurance']"
10,"Jess C. Scott,","“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”",19312,"['desire,', 'emotion,', 'friendship,', 'honesty,', 'imagination,', 'individuality,', 'life,', 'love,', 'passion,', 'reality,', 'relationships,', 'romance,', 'truth,', 'wisdom,', 'wise-words']"
11,Linda Grayson,"“There is nothing better than a friend, unless it is a friend with chocolate.”",16605,"['chocolate,', 'friendship']"
12,"Henri Nouwen,","“When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”",13976,"['empathy,', 'friends,', 'friendship,', 'inspirational']"
13,Helen Keller,"“I would rather walk with a friend in the dark, than alone in the light.”",13179,['friendship']
14,"Sarah Dessen,","“Life is an awful, ugly place to not have a best friend.”",12558,['friendship']
15,"Nicholas Sparks,","“You are my best friend as well as my lover, and I do not know which side of you I enjoy the most. I treasure each side, just as I have treasured our life together.”",10521,"['friendship,', 'love']"
16,"C.S. Lewis,","“Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.”",10256,"['friendship,', 'inspirational']"
17,Rumi,“Out beyond ideas of wrongdoing,8873,"['friendship,', 'love,', 'peace,', 'silence,', 'soul,', 'zen']"
18,"A.A. Milne,",“You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.”,8835,"['friendship,', 'inspirational,', 'pooh,', 'winnie']"
19,"E.B. White,","“Why did you do all this for me?' he asked. 'I don't deserve it. I've never done anything for you.' 'You have been my friend,' replied Charlotte. 'That in itself is a tremendous thing.”",7538,['friendship']
20,Aristotle,“What is a friend? A single soul dwelling in two bodies.”,7216,"['friendship,', 'soul']"
21,Jon Katz,"“I think if I've learned anything about friendship, it's to hang in, stay connected, fight for them, and let them fight for you. Don't walk away, don't be distracted, don't be too busy or tired, don't take them for granted. Friends are part of the glue that holds life and faith together. Powerful stuff.”",6874,"['faith,', 'friends,', 'friendship,', 'love']"
22,"Haruki Murakami,","“Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment. ”",5388,"['disappointment,', 'friends,', 'friendship,', 'life,', 'loneliness']"
23,Muhammad Ali,"“Friendship is the hardest thing in the world to explain. It's not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.”",5367,['friendship']
24,"J.K. Rowling,","“He must have known I'd want to leave you.""",5286,"['dumbledore,', 'friendship,', 'harry-potter,', 'ron-weasley']"
25,"Anais Nin,","“Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born.”",5212,['friendship']
26,Shel Silverstein,“How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.”,5180,"['friend,', 'friendship,', 'good-day,', 'how-many,', 'how-much,', 'life,', 'live-well,', 'love']"
27,"A. A. Milne,","“It is more fun to talk with someone who doesn't use long, difficult words but rather short, easy words like ""What about lunch?”",5127,['friendship']
28,Gillian Anderson,"“Well, it seems to me that the best relationships - the ones that last - are frequently the ones that are rooted in friendship. You know, one day you look at the person and you see something more than you did the night before. Like a switch has been flicked somewhere. And the person who was just a friend is... suddenly the only person you can ever imagine yourself with.”",5024,"['friendship,', 'love,', 'men,', 'relationships,', 'women']"
29,"Richelle Mead,",“Only a true best friend can protect you from your immortal enemies.”,4986,"['friendship,', 'humor,', 'romance']"
0,Alice Walker,"“No person is your friend who demands your silence, or denies your right to grow.”",5041,"['acceptance,', 'friendship']"
1,P.G. Wodehouse,“There is no surer foundation for a beautiful friendship than a mutual taste in literature.”,4951,"['friendship,', 'literature']"
2,"Ray Bradbury,","“Why is it,"" he said, one time, at the subway entrance, ""I feel I've known you so many years?""",4791,"['friendship,', 'relationships']"
